INTL_20160320_000001	+1 額外日任和副本進入次數
INTL_20160320_000001	+1 額外日任和副本進入次數
INTL_20160320_000002	點擊滑鼠右鍵時就能夠使用，從對伺服器內所有角色使用的時間點開始，套用60天優惠。{nl}[Token效果]{nl} - 特性技能可以同時修練2個{nl} - 市場販賣手續費率減少(30%{img white_right_arrow 16 16}10%){nl} - 市場販賣登錄道具數量5個{nl} - 角色移動速度增加+3{nl} - 消滅怪物時，經驗值增加+20%{nl}(可以和經驗之書效果重疊){nl} - 可以使用優惠動作{nl} - 最大BUFF套用數量增加{nl} - 可進行個人交易60次{nl} - 副本、任務追加進場1次
INTL_20160320_000003	點擊滑鼠右鍵時就能夠使用，從對伺服器內所有角色使用的時間點開始，套用60天優惠。{nl}[Token效果]{nl} - 特性技能可以同時修練2個{nl} - 市場販賣手續費率減少(30%{img white_right_arrow 16 16}10%){nl} - 市場販賣登錄道具數量5個{nl} - 角色移動速度增加+3{nl} - 消滅怪物時，經驗值增加+30%{nl}(可以和經驗之書效果重疊){nl} - 可以使用優惠動作{nl} - 最大BUFF套用數量增加{nl} - 可進行個人交易60次{nl} - 副本、任務追加進場1次
INTL_20160323_000004	- 可同時修練2個特性技能{nl} - 市場販賣手續費率減少(30%{img white_right_arrow 16 16}10%){nl} - 市場販賣登錄道具數量5個{nl} - 角色移動速度增加+3{nl} - 副本、任務追加進場1次{nl} - 最大BUFF套用數量增加{nl} - 可以使用優惠動作{nl}
INTL_20160326_000005	點擊滑鼠右鍵時就能夠使用，從對伺服器內所有角色使用的時間點開始，套用60天優惠。{nl}[Token效果]{nl} - 可同時修練2個特性技能{nl} - 市場販賣手續費率減少(30%{img white_right_arrow 16 16}10%){nl} - 市場販賣登錄道具數量5個{nl} - 角色移動速度增加+3{nl} - 消滅怪物時，經驗值增加+20%{nl}(可以和經驗之書效果重疊){nl} - 可以使用優惠動作{nl} - 最大BUFF套用數量增加{nl} - 可進行個人交易60次
INTL_20160326_000006	Token：30天
INTL_20160329_000007	魔法賦予卷軸10個寶箱
INTL_20160329_000008	使用時可以獲得魔法賦予卷軸10個。點擊滑鼠右鍵使用。
INTL_20160329_000009	擴音器10個寶箱
INTL_20160329_000010	使用時可以獲得擴音器10個。點擊滑鼠右鍵使用。
INTL_20160419_000011	使用並獲得 455 TP.
INTL_20160419_000012	使用並獲得 266 TP.
INTL_20160419_000013	使用並獲得 112 TP.
INTL_20160419_000014	右鍵使用並獲得:{nl} - 455 TP{nl} - Token (60天){nl} - 頭飾 - 波波小獅王人偶{nl} - 頭飾 - 粉紅小花怪人偶{nl} - 霍克鷹寵物交換券{nl} - 能力值初始化藥水{nl} - 技能初始化藥水{nl}
INTL_20160419_000015	右鍵使用並獲得:{nl} - 266 TP{nl} - Token (30天){nl} - 頭飾 - 波波小獅王人偶{nl}
INTL_20160425_000016	從使用的時間點開始對伺服器內所有角色，套用優惠60天。 點擊滑鼠右鍵使用。{nl}[Token效果]{nl} - 立即學習特性{nl} - 拍賣手續費降低 (30% {img white_right_arrow 16 16} 10%){nl} - 市場販賣登錄道具數量5個{nl} - 角色移動速度增加+3{nl} - 消滅怪物時，經驗值增加+20%{nl} - 可以使用優惠動作{nl} - 最大BUFF套用數量增加{nl} - 可進行個人交易60次
INTL_20160425_000017	從使用的時間點開始對伺服器內所有角色，套用優惠30天。 點擊滑鼠右鍵使用。{nl}[Token效果]{nl} - 立即學習特性{nl} - 拍賣手續費降低 (30% {img white_right_arrow 16 16} 10%){nl} - 市場販賣登錄道具數量5個{nl} - 角色移動速度增加+3{nl} - 消滅怪物時，經驗值增加+30%{nl} - 可以使用優惠動作{nl} - 最大BUFF套用數量增加{nl} - 可進行個人交易30次{nl} - 副本、任務追加進場1次
INTL_20160425_000018	從使用的時間點開始對伺服器內所有角色，套用優惠60天。 點擊滑鼠右鍵使用。{nl}[Token效果]{nl} - 立即學習特性{nl} - 拍賣手續費降低 (30% {img white_right_arrow 16 16} 10%){nl} - 市場販賣登錄道具數量5個{nl} - 角色移動速度增加+3{nl} - 消滅怪物時，經驗值增加+30%{nl} - 可以使用優惠動作{nl} - 最大BUFF套用數量增加{nl} - 可進行個人交易60次{nl} - 副本、任務追加進場1次
INTL_20160426_000019	從使用的時間點開始對伺服器內所有角色，套用優惠60天。 點擊滑鼠右鍵使用。{nl}[Token效果]{nl} - 可同時修練2個特性技能{nl} - 拍賣手續費降低 (30% {img white_right_arrow 16 16} 10%){nl} - 市場販賣登錄道具數量5個{nl} - 角色移動速度增加+3{nl} - 消滅怪物時，經驗值增加+30%{nl}(可以和經驗之書效果重疊){nl} - 可以使用優惠動作{nl} - 最大BUFF套用數量增加{nl} - 可進行個人交易60次
INTL_20160426_000020	點擊滑鼠右鍵時就能夠使用，從對伺服器內所有角色使用的時間點開始，套用30天優惠。{nl}[Token效果]{nl} - 立即學習特性{nl} - 拍賣手續費降低 (30% {img white_right_arrow 16 16} 10%){nl} - 市場販賣登錄道具數量10個{nl} - 角色移動速度增加+3{nl} - 消滅怪物時，經驗值增加+30%{nl} - 可以使用優惠動作{nl} - 最大BUFF套用數量增加{nl} - 可進行個人交易30次{nl} - 副本、任務追加進場1次
INTL_20160426_000021	從使用的時間點開始對伺服器內所有角色，套用優惠60天。 點擊滑鼠右鍵使用。{nl}[Token效果]{nl} - 可同時修練2個特性技能{nl} - 拍賣手續費降低 (30% {img white_right_arrow 16 16} 10%){nl} - 市場販賣登錄道具數量10個{nl} - 角色移動速度增加+3{nl} - 消滅怪物時，經驗值增加+30%{nl}(可以和經驗之書效果重疊){nl} - 可以使用優惠動作{nl} - 最大BUFF套用數量增加{nl} - 可進行個人交易60次{nl} - 副本、任務追加進場1次
INTL_20160512_000022	點擊滑鼠右鍵時就能夠使用，可以獲得組合物品。{nl} - 190 TP{nl} - Token - 活動 (15天){nl} - 高濃縮 HP/SP藥水 20個{nl} - 靈魂水晶 15個{nl} - 擴音器 15個{nl} - 傳送卷軸 15個{nl}
INTL_20160512_000023	使用並獲得 190 TP.		
INTL_20160512_000024	點擊滑鼠右鍵時就能夠使用，可以獲得組合物品。{nl} - Token (30天){nl} - 魔法賦予卷軸 X 4{nl} - 副本入場次數重置卷 X 5{nl}
INTL_20160728_000025	從使用的時間點開始對伺服器內所有角色，套用優惠30天。 點擊滑鼠右鍵使用。{nl}[Token效果]{nl} - 立即學習特性{nl} - 拍賣手續費降低 (30% {img white_right_arrow 16 16} 10%){nl} - 市場販賣登錄道具數量10個{nl} - 角色移動速度增加+3{nl} - 消滅怪物時，經驗值增加+30%{nl} - 可以使用優惠動作{nl} - 最大BUFF套用數量增加{nl} - 可進行個人交易30次{nl} - 副本、任務追加進場1次	
INTL_20160728_000026	從使用的時間點開始對伺服器內所有角色，套用優惠60天。 點擊滑鼠右鍵使用。{nl}[Token效果]{nl} - 立即學習特性{nl} - 拍賣手續費降低 (30% {img white_right_arrow 16 16} 10%){nl} - 市場販賣登錄道具數量10個{nl} - 角色移動速度增加+3{nl} - 消滅怪物時，經驗值增加+30%{nl} - 可以使用優惠動作{nl} - 最大BUFF套用數量增加{nl} - 可進行個人交易60次{nl} - 副本、任務追加進場1次
INTL_20160728_000027	從使用的時間點開始對伺服器內所有角色，套用優惠30天。 點擊滑鼠右鍵使用。{nl}[Token效果]{nl} - 立即學習特性{nl} - 拍賣手續費降低 (30% {img white_right_arrow 16 16} 10%){nl} - 市場販賣登錄道具數量10個{nl} - 角色移動速度增加+3{nl} - 消滅怪物時，經驗值增加+30%{nl} - 可以使用優惠動作{nl} - 最大BUFF套用數量增加{nl} - 可進行個人交易30次{nl} - 副本、任務追加進場1次
INTL_20160728_000028	從使用的時間點開始對伺服器內所有角色，套用優惠7天。 點擊滑鼠右鍵使用。{nl}[Token效果]{nl} - 立即學習特性{nl} - 拍賣手續費降低 (30% {img white_right_arrow 16 16} 10%){nl} - 市場販賣登錄道具數量10個{nl} - 角色移動速度增加+3{nl} - 消滅怪物時，經驗值增加+30%{nl} - 可以使用優惠動作{nl} - 最大BUFF套用數量增加{nl} - 副本、任務追加進場1次			
INTL_20161107_000029	點擊滑鼠右鍵可獲得下列物品:{nl} - 150x Highly Enriched HP Potion {nl} -  150x Highly Enriched SP Potion {nl}- 20x Honey Dumpling {nl}- 20x Settlement Support Potion{nl}- 10x Instance Clear Voucher {img star_mark 20 20}{nl}- 20x Soul Crystal{nl} - 30x Warp Scroll {nl}- 10x Enchant Scroll{nl} - 1x Skill Reset Potion{nl}- 1x Stat Reset Potion
INTL_20161114_000030	市場銀幣需等待: 24 小時
INTL_20161114_000031	持有Token時已售出的銀幣需等待: 1 小時
INTL_20161114_000032	持有Token時已售出的銀幣需等待: 24 小時
INTL_20161121_000033	點擊滑鼠右鍵時就能夠使用，可以獲得組合物品。:{nl} - 100x 高濃縮HP藥水 {nl} -  100x 高濃縮SP藥水 {nl}- 10x 蜂蜜餃子 {nl}- 10x 外城支援藥水{nl}- 5x 副本快速掃蕩券 {img star_mark 20 20}{nl} - 1x 技能重置藥水{nl}- 1x 素質重置藥水
INTL_20161214_000034	VIP使用者不受上/下限價格影響。				
INTL_20161214_000035	Token就算在市場交易後也可以繼續交易嗎?(1:可交易, 0:不可交易)
INTL_20170510_000036	點擊滑鼠右鍵即可開啟並獲得箱子內容物。{nl} - Token:7天[限時]{nl} - 魔法賦予卷軸(限時) 10個{nl} - 表情符號 Plus 禮包 : 波波小獅王{nl}- 簡潔套裝箱子{nl}- 芭蕉扇(30天){nl} - 赤紅貝雷帽{nl} - 亮鮭紅染色藥{nl} - 緋紅隱形眼鏡{nl} - 定居支援藥水 Lv2 10個{nl} -凱伊托恢復藥水Lv2 20個
INTL_20170605_000037	為無名女王所製造的王冠。{nl} 可以到回收商店用代幣交換。
INTL_20170605_000038	以軸為重心轉動，纏繞長條高彈性的材質對後，利用轉動的力量創造出動力的裝置。{nl}可以到回收商店用代幣交換。
INTL_20170605_000039	可以很快速地烤麵包的工具。{nl} 可以到回收商店用代幣交換。
INTL_20170605_000040	這個世界傳遞情報的最新技能。{nl} 可以到回收商店用代幣交換。
INTL_20170703_000041	Yes, turning your head about 270 degrees is possible!{nl} 可以到回收商店用代幣交換。
INTL_20170703_000042	A small figurine carved by a Dievdirbys.{nl} 可以到回收商店用代幣交換。
INTL_20170728_000043	SPARTAAAAA!!!{nl} 可以到回收商店用代幣交換。
INTL_20170925_000044	Applies Token benefits to all your characters in the server for 30 days. Right-click to use.{nl}[Token Benefits]{nl} - Able to learn attributes instantaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 10 items on the Market{nl} - +3 increased character movement{nl} - +30% EXP from hunting monsters{nl} - Able to use Premium Gestures{nl} - Increased maximum buff count{nl} - Able to use Personal Trade up to 30 times{nl} - 1 extra instance entry for missions and dungeons
INTL_20170925_000045	Applies Token benefits to all your characters in the server for 30 days. Right-click to use.{nl}[Token Benefits]{nl} - Able to learn attributes instantaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 10 items on the Market{nl} - +3 increased character movement{nl} - +30% EXP from hunting monsters{nl} - Able to use Premium Gestures{nl} - Increased maximum buff count{nl} - Able to use Personal Trade up to 30 times{nl} - 1 extra instance entry for missions and dungeons
